1,A plane is taking off.,An air plane is taking off.
1,A man is playing the cello.,A man seated is playing the cello.
1,Some men are fighting.,Two men are fighting.
0,A man is smoking.,A man is skating.
0,The man is playing the piano.,The man is playing the guitar.
1,A person is throwing a cat on to the ceiling.,A person throws a cat on the ceiling.
1,The man hit the other man with a stick.,The man spanked the other man with a stick.
1,A woman picks up and holds a baby kangaroo.,A woman picks up and holds a baby kangaroo in her arms.
1,A person is folding a piece of paper.,Someone is folding a piece of paper.
0,A man is running on the road.,A panda dog is running on the road.
1,The polar bear is sliding on the snow.,A polar bear is sliding across the snow.
0,A woman is writing.,A woman is swimming.
1,The man is riding a horse.,A man is riding on a horse.
1,A panda is sliding down a slide.,A panda slides down a slide.
1,A woman peels a potato.,A woman is peeling a potato.
1,The boy fell off his bike.,A boy falls off his bike.
1,The woman is playing the flute.,A woman is playing a flute.
1,A rabbit is running from an eagle.,A hare is running from a eagle.
1,The woman is frying a breaded pork chop.,A woman is cooking a breaded pork chop.
1,A girl is flying a kite.,A girl running is flying a kite.
1,A man is riding a mechanical bull.,A man rode a mechanical bull.
1,The man is playing the guitar.,A man is playing a guitar.
1,A man is pouring oil into a pan.,A man is pouring oil into a skillet.
1,A dog rides a skateboard.,A dog is riding a skateboard.
1,A woman peels shrimp.,A woman is peeling shrimp.
1,A woman is frying fish.,A woman is cooking fish.
0,A baby tiger is playing with a ball.,A baby is playing with a doll.
0,A person is slicing a tomato.,A person is slicing some meat.
1,A person cuts an onion.,A person is cutting an onion.
0,A man is playing the piano.,A woman is playing the violin.
0,A woman is playing the flute.,A man is playing the guitar.
1,A little boy is playing a keyboard.,A boy is playing key board.
1,A dog licks a baby.,A dog is licking a baby.
0,A man is playing the guitar.,A man is playing the drums.
1,A man is playing the drums.,A man plays the drum.
1,A woman rides a horse.,A woman is riding a horse.
1,A man is eating a banana by a tree.,A man is eating a banana.
0,A cat is playing a key board.,A man is playing two keyboards.
1,A man chops down a tree with an axe.,A man cut a tree with an axe.
0,A man is riding a motorcycle.,A man is riding a horse.
0,A man is riding a motorcycle.,A man is riding a horse.
1,A squirrel is spinning around in circles.,A squirrel runs around in circles.
1,A man and a woman are kissing.,A man and woman kiss.
0,A man is dancing.,A man is talking.
1,A person is cutting mushrooms.,A person is cutting mushrooms with a knife.
0,A tiger cub is making a sound.,A tiger is walking around.
0,A man is playing the piano.,A man is playing the trumpet.
0,A woman is peeling a potato.,A woman is peeling an apple.
1,A pankda is eating bamboo.,A panda bear is eating some bamboo.
0,A person is peeling an onion.,A person is peeling an eggplant.
1,A monkey pushes another monkey.,The monkey pushed the other monkey.
1,A squirrel runs around in circles.,A squirrel is moving in circles.
1,A man is tying his shoe.,A man ties his shoe.
1,A dog is eating water melon.,A dog is eating a piece of watermelon.
1,A woman is chopping broccoli.,A woman is chopping broccoli with a knife.
0,A woman is slicing tomato.,A man is slicing onion.
0,A man swims underwater.,A woman is swimming underwater.
0,A man and woman are talking.,A man and woman is eating.
1,A small dog is chasing a yoga ball.,A dog is chasing a ball.
1,A man rides off on a motorcycle.,A man is riding on a motorcycle.
0,A man is fishing.,A man is exercising.
0,A man is levitating.,A man is talking.
0,Two boys are driving.,Two bays are dancing.
0,A man is riding a bicycle.,A monkey is riding a bike.
1,The man cut a paper plate.,A man is cutting a paper plate.
0,The man is playing the guitar.,A man is playing the flute.
0,A man is playing the piano.,The man is playing the violin.
1,A man is playing on his keyboard.,A man is playing a keyboard piano.
1,The lady chopped up the green onions.,The lady cut up a green onion.
1,Lionel Richie is dancing on the ceiling.,Lionel Ritchie dances while standing on the ceiling.
1,A man is playing a piano.,A person is playing the piano.
1,A woman is playing flute.,A woman plays on a flute.
1,A woman is cutting an onion.,A woman is chopping onions.
1,A man is playing guitar.,A man plays a guitar.
1,A woman is using a sewing machine.,A woman is sewing on a machine.
0,A man is running on the road.,A car is driving down the road.
0,A man is riding on a horse.,A man is talking on a phone.
0,A man is riding a bike.,A man is riding on a horse.
0,A woman is dancing.,A man is eating.
0,A man is playing a piano.,A man is playing a flute.
0,A man is playing a flute.,A man is playing a piano.
0,A man is spinning.,A man is dancing.
1,The people got off the train.,The people got off the train at the station.
1,A dog is jumping on a trampoline.,A dog bounces on a trampoline.
0,A woman plays the guitar.,A man sings and plays the guitar.
0,A woman is picking a can.,A woman is slicing a tomato.
1,A man is climbing a rope.,A man climbs up a rope.
0,A man is lifting a car.,A man is climbing a wall.
1,A man and woman are driving down the street in a jeep.,A man and woman are driving down the road in an open air vehicle.
1,Two women are wrestling.,Two women are wrestling on the floor.
1,The puppy played with a blue tennis ball.,A puppy is playing with a tennis ball.
1,A kangroo is eating something.,A kangaroo is eating.
0,A cat is playing a piano.,A man is playing a guitar.
1,The man cut some carpet with a knife.,A man is cutting carpet with a knife.
0,A woman is dancing.,A man is talking.
0,A man is rowing a boat.,A man is slicing a tomato.
1,A man cuts up potatos.,A man slices potatoes.
1,A woman is chopping up garlic.,The woman is dicing garlic.
1,A man is playing the guitar.,A man seated in a room is playing the guitar.
1,A man plays the flute.,A man is playing a flute.
1,Two men are packing suitcases into the trunk of a car.,The men are putting suitcases into the car's trunk.
0,A man is paddling a canoe.,A man is playing a harp.
1,A man and woman are walking together through the woods.,A man and woman are walking arm in arm through a wooded area.
1,Fish are swimming.,A fish is swimming.
1,Two women mix something in a food processor.,Two women make something in a blender.
0,A man is playing a guitar.,A man is stabbing a target.
0,A man is playing a flute in a band.,A man is playing a guitar.
1,The man spread butter on the loaf of bread.,A man is spreading butter onto bread.
1,A person is boiling noodles.,A woman is boiling noodles in water.
0,A man is dancing outside.,A man is playing flute.
0,A woman is feeding a man.,A woman is mixing meat.
0,A man is putting a pan into an oven.,A woman is cutting an onion.
0,A woman is sitting at a desk.,A woman is riding a donkey.
1,A baby is laughing.,A baby is laughing and giggling.
0,A man is playing a guitar.,A boy is playing a piano.
0,A man is folding paper.,A woman is slicing a pepper.
0,Three women are dancing.,The man is dancing.
1,The man is eating pizza.,A man is eating a slice of pizza.
0,A man and a woman talk in a diner.,A man and a woman are riding on a bicycle.
0,A man is playing a guitar.,A man is cleaning a glass door.
0,A woman is doing weight exercises.,A woman is doing her hair.
1,A big green ball knocks a potato over.,A large green ball hits a potato.
1,Two dogs swim in a pool.,Dogs are swimming in a pool.
0,The man used a chopper to chop the onion.,The man used a machine to chop up a potatoe.
1,A woman slices tofu.,A woman is cutting tofu.
0,Someone is feeding a animal.,Someone is playing a piano.
0,Someone is slicing tortila's.,Someone is riding a horse.
0,Someone is mixing ingrediants.,Someone is sewing things.
1,A rooster pecks at a dead mouse.,A chicken is pecking at a dead mouse.
0,A man is playing with frogs,A cat is playing with a camera.
0,Two men are talking.,Two men are playing guitar.
0,A man is mowing a lawn.,A woman is cutting a lemon.
0,A man is opening a door.,A man is playing a guitar.
1,A man is slicing a potato into pieces.,A man is cutting a potato.
0,A man is punching through boards.,A dog is running through water.
0,A man is dancing.,A man is eating bread.
0,Someone is playing a piano.,A man is playing a guitar.
1,A person plays a keyboard.,Someone is playing a keyboard.
0,A man is shooting a gun.,A man is spitting.
0,Someone is slicing an onion.,Someoen is peeling a potato.
0,A man is swimming.,A woman is slicing meat.
0,A woman is slicing a pumpkin.,A woman is riding an elephant.
0,A woman is dancing.,A woman is kneading dough.
0,A woman is cracking eggs into a bowl.,A woman is placing skewers onto a rack.
1,A car is moving through a road.,A car is driving down the road.
0,Someone is greasing a pan.,Smeone is laying down.
0,A man is playing guitar.,A man is draining pasta.
0,A woman is drinking vodka.,A woman is exercising.
1,A woman is cutting meat into pieces.,A woman is cutting up some meat.
0,A man is rinsing a steak.,A man is playing a guitar.
0,A man is selling items.,A man is cleaning the house.
0,A man is kicking a soccer ball.,A man is mixing a bowl.
0,A woman is frying something.,A woman is riding a horse.
0,A cat is licking a sucker.,A woman is slicing cucumber.
0,A woman is dancing by a fire.,A woman is taking a bath.
0,A woman is playing a game with a man.,A man is playing piano.
0,The man is driving a white car.,A man is giving an interview.
1,A man drove his car.,A man is driving a car.
1,A man puts some cheese on a pizza.,The man sprinkled cheese on the pizza.
1,The boy is playing the piano.,A boy plays a piano.
0,A man is riding a horse.,A man is playing a keyboard.
0,A man is walking on a rope.,A man is riding a mo-pad.
0,A girl is playing a flute.,A band is playing on a stage.
1,People step off a train.,A group of people get off a train.
0,A woman is sewing on a machine.,A woman is breading some meat.
0,A dog is looking into swimming pool.,A dog is walking around a pool.
1,A man is buttering a piece of bread.,A man is applying butter to bread.
0,A man is cutting tomatoes into pieces.,A woman is cutting some vegetables.
0,A man shooting a car.,A man is cutting a potato.
1,A black horse is running around.,The horse is running.
0,A woman is deveining shrimp.,A man is dancing in rain.
0,A man is riding a horse.,A woman is washing a freezer.
0,A man walks down a path.,A man walks across a tight rope.
0,A man is slicing a potato.,A woman is cutting a jalepeno.
0,A dog is barking at a ball.,A dog swims after a tennis ball.
0,A man is crushing garlic with the back of a knife.,A woman is slicing meat with a knife.
0,A woman is filing her fingernails with an emery board.,A woman is feeding her baby with a bottle.
0,A man is riding a skateboard.,A woman is cutting a potato.
0,A woman is taking a shower.,A man is riding a white horse.
0,A  man is dancing.,A man is riding a horse.
0,A man is rowing a boat.,A man is shooting off a gun.
0,A woman is riding a horse on a beach.,A man is carrying another man on his back.
0,A man holds a small animal in one hand.,A man shows off a small monkey.
0,A person is frying meat in a pan.,A person is holding a skunk.
0,A chimpanzee is hurting a woman.,A man is driving a car.
0,The woman is peeling shrimp.,The man is holding a lemur.
1,Two zebras are playing.,Zebras are socializing.
0,A woman is slicing butter.,A woman slices tofu.
1,A badger is burrowing a hole.,A badger is digging the earth.
0,A woman is water skiing on a lake.,A man is playing a flute.
0,A girl is playing a violin.,A baby is laughing and giggling.
0,A woman is cutting a cucumber.,A man is playing a guitar.
1,A woman splits garlic cloves.,A woman is breaking a head of garlic into cloves.
0,A woman is picking tomatoes.,A woman is pouring batter into a bowl.
0,The boy is riding a tricycle.,A woman is riding a water scooter.
0,A person is cutting a meat.,A person riding a mechanical bull
0,A man is playing a violin.,A woman is using a sewing machine.
0,A man is smelling two pizzas.,A woman is feeding a man.
1,A dog lies on his back on a wooden floor.,A dog is laying on the floor.
0,A woman is frying something in the pan.,A man is playing his guitar.
1,A man puts seasoning in a bowl of water.,The man added seasoning to water in a bowl.
0,An elderly woman is pouring oil into a frying pan.,A tied man is putting into water.
0,A dog biting on a can.,A dog opens a can of food.
0,A woman is deboning a fish.,A man catches a fish.
0,A man is mowing grass.,A man is busting concrete.
0,A cat is watching a TV.,A man is slicing a leave.
0,A man is playing a guitar.,A woman is dancing.
0,A bear is running from two dogs.,A bear is fighting wolves.
0,A man is dieing in an operating room.,A man is kissing a woman in stage.
0,A man is holding a leaf.,A woman is watching television.
0,A person is riding a horse.,A woman is slicing potatoes.
0,A woman is slicing octopus.,A man is playing the guitar.
0,A man is breaking water jugs.,A woman is peeling garlic.
0,A man is playing a guitar.,A woman is cutting vegetable.
0,A girl is eating a cupcake.,A man is slicing a cucumber.
0,A dog is playing in the snow.,A dog is pawing at a fly in the carpet before it.
0,A woman is dancing with other women.,A woman is shredding chicken.
0,A boy is pushing a van.,A person is slicing a tomato.
0,A boy is making some dance steps.,A boy is pouring something from a pitcher.
0,A woman is opening a soda and drinking it.,A woman is riding on an elephant.
0,A man is assembling speaker parts.,A man is playing the guitar.
1,The dog walked along the edge of the pool.,A dog is walking along a pool.
1,Butter is being put into a bowl.,A man cutting butter into a mixing bowl.
0,Raccoons are eating.,A man is eating.
0,A woman peels an apple.,A man pops wheelies on a motorcycle.
0,A man is taking some math classes.,A man is rinsing a steak.
0,Animals are playing in water.,Two men are playing ping pong.
0,A man is riding a horse and jumping over obstacles.,A man is kicking a soccer ball.
0,A person is doing pencil tricks with his hand.,A person is slicing carrots in half.
1,The man is slicing the tape from the box.,A man is cutting open a box.
0,A man is fishing in the river.,A man is singing while walking down the sidewalk.
0,A man is riding a bike.,A woman is dancing in the street.
0,A man is doing push-ups.,A woman is cutting some octopus.
0,A man is playing guitar.,A woman is slicing up some pork.
0,A woman is powdering her face.,The woman is tapping her fingers on the table.
0,A woman is peeling a potato.,A lion is walking around.
0,A woman is firing a rifle.,A man is performing stunts.
0,A woman puts a garland over a man's shoulders.,A man pours water over a pilots head.
0,The woman is waterskiing.,A woman is wake boarding on a lake.
0,A man and woman is riding in a car.,A woman is frying shrimp.
0,A man is moving a tree limb.,The woman is playing the violin.
0,A man plays a piano.,A woman is playing the violin.
0,A person pours oil on a skillet.,A person is dicing an onion.
0,The animal is eating.,A woman is dancing.
1,The woman is walking her dog.,A woman walks her dog down the street.
1,A group of people sing.,Some people are singing.
1,The cat is drinking milk.,A cat is licking from a saucer of milk.
0,A girl is making eyelid.,A woman is applying eyeshadow.
0,A woman is lying on a blanket on a rock and reading a book.,A woman seated is singing a song and playing the guitar too.
0,Two puppies are playing with each other.,Some men are playing soccer.
0,A man is running on a field.,A man climbs up a rope.
0,A man is hugging someone.,A man is taking a picture.
0,A couple are walking.,Some men are sawing.
0,A man is playing a guitar.,Someone is handling a bun.
0,A dog is jumping on a trampoline.,A boy is playing a guitar.
1,Paper is being cut with scissors.,A piece of paper is being cut.
0,A man is playing a guitar.,A man tries to read the paper.
0,A man making a bed in a hotel.,A man is holding a animal.
0,The dog pulled the dogs tail and then his leg.,A monkey pulled a dogs tail.
0,A man is jumping rope outside.,A woman is slicing a cucumber.
0,A person is slicing some onions.,A hamster is singing.
0,A woman holds a kangaroo.,A man in a hat sings a song.
0,A man is carrying another man.,A man sprays another man with water from a hose.
0,The woman is putting paste into a dish.,A woman is pulling some kind of sticky goo out of a bowl.
0,Someone is boiling okra in a pot.,Someone pours olive oil into a bowl of tomato wedges.
0,A person is peeling a potato.,A cat is licking a small bottle.
0,A cat is jumping into a box.,A young man is talking to a leaf.
0,The woman is seasoning the oil.,A woman is pouring ingredients in a bowl.
0,A woman slices a lemon.,A man is talking into a microphone.
0,An overweight man is skipping rope.,A young man is dancing.
0,A man sharpens a pencil using a knife.,A woman is dancing in the rain.
0,Plastic toys are floating in water.,The ladies are performing a dance.
0,A man is tying his shoe.,A dog is riding on a bicyclists shoulders.
0,A woman is slicing meat with a knife.,A man is spreading out dough.
0,A dog is running on the ground.,A girl is tapping her finger nails.
0,A man is petting a tied up dog.,A man is showing his dog to the camera.
0,A woman is walking on an open ground with a pet dog as some other dogs follow them.,A man is walking with several dogs.
0,A woman is mincing some garlic.,A person is cleaning a disk.
0,A rat like creature is smelling around.,An animal is walking on the ground.
0,Two Sumo ringers are fighting each other.,A man rides a water toy in the water.
0,A man lays on the ground and aims a rifle.,A man is spreading butter on a tortilla.
1,The rhino grazed on the grass.,A rhino is grazing in a field.
0,The man drove his little red car around the traffic.,The dog ran in the water at the beach.
0,A man is cutting bread.,A man is doing tricks with a soccer ball.
0,A cat is playing in a box.,The dog is playing with the floor cleaner.
0,A man is patting an alligator on the mouth.,A person is dumping chopped vegetables into a pot on the stove.
0,A person checks some rice pudding.,A horse is running.
0,A woman is stirring two eggs in a glass bowl.,A young girl is singing on a stage.
0,The man is playing the drums.,A man pours cleaner in his sink.
0,A woman is speaking in sign language.,A woman spices some seafood.
0,A boy is crawling into a dog house.,A cat is playing on the floor.
0,A woman is placing food in a pot of hot water.,A woman is frying meat.
0,A man is riding a bike.,A panda bear is eating.
0,A young man is singing and playing the piano.,The man is writing a letter.
0,A boy takes off his sunglasses.,A boy is screaming.
0,A girl is playing a piano.,A boy is doing push ups.
1,The lady sliced a tomatoe.,Someone is cutting a tomato.
0,Someone is holding a hedgehog.,A onion is being sliced.
